ID	ID	dates	genre	subgenre	period	title	decade
k00200002517	k00200002517	1889	Prose	Prose	Prose	Geschichten aus den Bergen	1880
k00200000002	k00200000002	1903	Prose	Prose	Prose	Das Schloß im Moor	1900
k00200002518	k00200002518	1890	Prose	Prose	Prose	Komtesse Käthe in der Ehe	1890
k00200002519	k00200002519	1910	Prose	Prose	Prose	Der Maskenball in der Ca' Torcelli	1910
k00200000003	k00200000003	1908	Prose	Prose	Prose	Haus Nummer 37	1900
k00100000004	k00100000004	1852	Prose	Prose	Prose	Ruhe ist die erste Bürgerpflicht	1850
k00200000009	k00200000009	1854	Prose	Prose	Prose	Isegrimm	1850
k00100000009	k00100000009	1884	Prose	Prose	Prose	Der Sternsteinhof	1880
k00200002532	k00200002532	1913	Prose	Prose	Prose	Familie Dungs	1910
k00200002227	k00200002227	1866	Prose	Prose	Prose	Saat und Ernte	1860
k00100000018	k00100000018	1854	Prose	Prose	Prose	Die Kronenwächter. Zweiter Band.	1850
k00100000023	k00100000023	1857	Prose	Prose	Prose	Der Lautenbacher	1850
k00100000026	k00100000026	1853	Prose	Prose	Prose	Brosi und Moni	1850
k00100000027	k00100000027	1852	Prose	Prose	Prose	Die Geschichte des Diethelm von Buchenberg	1850
k00100000028	k00100000028	1853	Prose	Prose	Prose	Der Lehnhold	1850
k00100000029	k00100000029	1856	Prose	Prose	Prose	Barfüßele	1850
k00200000029	k00200000029	1865	Prose	Prose	Prose	Auf der Höhe Band I	1860
k00200000033	k00200000033	1869	Prose	Prose	Prose	Das Landhaus am Rhein / Band I	1860
k00200000034	k00200000034	1869	Prose	Prose	Prose	Das Landhaus am Rhein / Band II	1860
k00200000035	k00200000035	1869	Prose	Prose	Prose	Das Landhaus am Rhein / Band III	1860
k00200000036	k00200000036	1869	Prose	Prose	Prose	Das Landhaus am Rhein / Band IV	1860
k00200000037	k00200000037	1869	Prose	Prose	Prose	Das Landhaus am Rhein / Band V	1860
k00200000030	k00200000030	1865	Prose	Prose	Prose	Auf der Höhe Zweiter Band	1860
k00200000031	k00200000031	1865	Prose	Prose	Prose	Auf der Höhe Dritter Band	1860
k00200000032	k00200000032	1865	Prose	Prose	Prose	Auf der Höhe Vierter Band	1860
k00200000038	k00200000038	1878	Prose	Prose	Prose	Landolin von Reutershöfen	1870
k00200002527	k00200002527	1919	Prose	Prose	Prose	Die flammende Venus	1910
k00200002528	k00200002528	1914	Prose	Prose	Prose	Halali! Die schönsten Jagdgeschichten der Welt	1910
k00200002530	k00200002530	1914	Prose	Prose	Prose	Das Buch der seltsamen Geschichten	1910
k00100000030	k00100000030	1890	Prose	Prose	Prose	Die gute Schule	1890
k00200000045	k00200000045	1897	Prose	Prose	Prose	Theater	1890
k00200000044	k00200000044	1908	Prose	Prose	Prose	Die Rahl	1900
k00200000043	k00200000043	1910	Prose	Prose	Prose	O Mensch!	1910
k00200000042	k00200000042	1916	Prose	Prose	Prose	Himmelfahrt	1910
k00200002537	k00200002537	1907	Prose	Prose	Prose	Der Spruchbauer	1900
k00200002538	k00200002538	1907	Prose	Prose	Prose	Unschuldig verurteilt	1900
k00200002539	k00200002539	1909	Prose	Prose	Prose	Im Wüstensand	1900
k00200002535	k00200002535	1915	Prose	Prose	Prose	Der Derotero des Indianers	1910
k00200002536	k00200002536	1909	Prose	Prose	Prose	Das Kastell in der Kiloa-Bucht	1900
k00100000031	k00100000031	1918	Prose	Prose	Prose	Flammetti	1910
k00200000082	k00200000082	1905	Prose	Prose	Prose	Graf Udo Bodo	1900
k00200000086	k00200000086	1895	Prose	Prose	Prose	Aus der Jugendzeit	1890
k00200000089	k00200000089	1854	Prose	Prose	Prose	Der Dunkelgraf	1850
k00200000090	k00200000090	1886	Prose	Prose	Prose	Die Nonnensusel	1880
k00200000092	k00200000092	1906	Prose	Prose	Prose	Hansis Europareise	1900
k00200000098	k00200000098	1913	Prose	Prose	Prose	Frau Hempels Tochter	1910
k00200000101	k00200000101	1912	Prose	Prose	Prose	Die Reise des Herrn Sebastian Wenzel	1910
k00200002547	k00200002547	1913	Prose	Prose	Prose	Frau Hempels Tochter	1910
k00200000096	k00200000096	1915	Prose	Prose	Prose	Die Bräutigame der Babette Bomberling	1910
k00200000099	k00200000099	1916	Prose	Prose	Prose	Spreemann & Co	1910
k00200002551	k00200002551	1880	Prose	Prose	Prose	Ein stummer Musikant	1880
k00200000105	k00200000105	1879	Prose	Prose	Prose	196 Tage auf treibender Eisscholle	1870
k00200002552	k00200002552	1919	Prose	Prose	Prose	Der Wilde Freiger	1910
k00200000115	k00200000115	1898	Prose	Prose	Prose	Emil der Verstiegene	1890
k00200000125	k00200000125	1893	Prose	Prose	Prose	Der Negerkomiker	1890
k00200000133	k00200000133	1892	Prose	Prose	Prose	Studenten-Beichten	1890
k00200000134	k00200000134	1892	Prose	Prose	Prose	Studentenbeichten	1890
k00200000130	k00200000130	1896	Prose	Prose	Prose	Die Schlangendame	1890
k00100000039	k00100000039	1897	Prose	Prose	Prose	Stilpe. Ein Roman aus der Froschperspektive	1890
k00200000121	k00200000121	1898	Prose	Prose	Prose	Kaktus	1890
k00200000127	k00200000127	1899	Prose	Prose	Prose	Das Schöne Mädchen von Pao	1890
k00200000111	k00200000111	1902	Prose	Prose	Prose	Annemargreth und die drei Junggesellen	1900
k00200000112	k00200000112	1903	Prose	Prose	Prose	Eine empfindsame Reise im Automobil	1900
k00200000119	k00200000119	1909	Prose	Prose	Prose	Eine kleine Herbstreise im Automobil (1)	1900
k00200000131	k00200000131	1904	Prose	Prose	Prose	Sinaïde	1900
k00200000132	k00200000132	1905	Prose	Prose	Prose	Schwarz-Rot-Gold und Grün-Weiß-Rot	1900
k00200000123	k00200000123	1906	Prose	Prose	Prose	Prinz Kuckuck	1900
k00200000122	k00200000122	1909	Prose	Prose	Prose	Kleine Reise	1900
k00200000113	k00200000113	1909	Prose	Prose	Prose	Blätter aus Fiesole	1900
k00200000116	k00200000116	1909	Prose	Prose	Prose	Von Fiesole nach Pasing	1900
k00200000128	k00200000128	1911	Prose	Prose	Prose	Samalio Pardulus	1910
k00200000114	k00200000114	1910	Prose	Prose	Prose	Dostojewski	1910
k00200000136	k00200000136	1909	Prose	Prose	Prose	Yankeedoodle-Fahrt (1)	1900
k00200000118	k00200000118	1912	Prose	Prose	Prose	Hans Wurst und der Riese	1910
